PolicyID,PolicyTitle,PolicyType,Status,OwnerDepartmentID,EffectiveDate,LastApprovedDate,NextReview
POL-0001,Policy 1: Conduct Management,HR,Retired,DEP-004,5/28/10,6/18/24,6/18/27
POL-0002,Policy 2: Security Management,Employer,Approved,DEP-010,4/21/23,11/13/24,11/13/27
POL-0003,Policy 3: Access Management,Operations,Under Review,DEP-001,10/19/19,8/7/24,8/7/27
POL-0004,Policy 4: Leave Management,Risk,Retired,DEP-001,7/26/24,7/5/23,7/4/26
POL-0005,Policy 5: Retention Management,IT,Approved,DEP-008,12/28/20,9/26/24,9/26/27
POL-0006,Policy 6: Travel Management,Employer,Retired,DEP-001,3/6/25,10/31/24,10/31/27
POL-0007,Policy 7: Conduct Management,IT,Under Review,DEP-012,6/9/06,6/11/24,6/11/27
POL-0008,Policy 8: Retention Management,IT,Under Review,DEP-001,3/14/18,7/9/24,7/9/27
POL-0009,Policy 9: Records Management,IT,Under Review,DEP-003,7/7/06,11/24/23,11/23/26
POL-0010,Policy 10: Security Management,Risk,Approved,DEP-005,5/4/10,12/16/24,12/16/27
POL-0011,Policy 11: Conduct Management,Risk,Under Review,DEP-008,12/20/07,12/7/23,12/6/26
POL-0012,Policy 12: Risk Management,Employer,Approved,DEP-002,6/14/10,9/16/24,9/16/27
POL-0013,Policy 13: Conduct Management,Compliance,Approved,DEP-005,3/6/07,9/22/23,9/21/26
POL-0014,Policy 14: Procurement Management,Member,Approved,DEP-001,6/23/15,3/26/24,3/26/27
POL-0015,Policy 15: Security Management,Admin,Draft,DEP-008,1/12/14,6/5/24,6/5/27
POL-0016,Policy 16: Conduct Management,IT,Under Review,DEP-008,4/8/09,1/5/24,1/4/27
POL-0017,Policy 17: Procurement Management,Operations,Retired,DEP-001,4/1/11,5/24/24,5/24/27
POL-0018,Policy 18: Training Management,Risk,Approved,DEP-014,3/14/07,6/21/24,6/21/27
POL-0019,Policy 19: Security Management,IT,Retired,DEP-003,9/24/08,8/16/23,8/15/26
POL-0020,Policy 20: Conduct Management,Compliance,Under Review,DEP-009,3/29/25,11/20/23,11/19/26
POL-0021,Policy 21: Procurement Management,Finance,Approved,DEP-001,8/3/22,5/14/24,5/14/27
POL-0022,Policy 22: Procurement Management,Risk,Retired,DEP-001,11/6/19,7/19/24,7/19/27
POL-0023,Policy 23: Conduct Management,Finance,Approved,DEP-002,11/19/09,10/13/23,10/12/26
POL-0024,Policy 24: Retention Management,HR,Approved,DEP-003,10/11/21,12/23/24,12/23/27
POL-0025,Policy 25: Risk Management,Employer,Under Review,DEP-007,4/12/16,12/26/24,12/26/27
POL-0026,Policy 26: Access Management,HR,Approved,DEP-014,5/23/16,9/19/24,9/19/27
POL-0027,Policy 27: Risk Management,Compliance,Retired,DEP-013,2/23/20,2/1/23,1/31/26
POL-0028,Policy 28: Security Management,Admin,Retired,DEP-008,7/10/10,6/10/24,6/10/27
POL-0029,Policy 29: Risk Management,Compliance,Under Review,DEP-001,5/28/14,5/22/24,5/22/27
POL-0030,Policy 30: Conduct Management,IT,Approved,DEP-001,1/9/20,8/29/24,8/29/27
POL-0031,Policy 31: Leave Management,Member,Approved,DEP-004,12/9/07,10/10/24,10/10/27
POL-0032,Policy 32: Training Management,Legal,Approved,DEP-012,11/12/21,8/28/23,8/27/26
POL-0033,Policy 33: Training Management,Admin,Approved,DEP-002,8/18/17,6/7/24,6/7/27
POL-0034,Policy 34: Retention Management,IT,Approved,DEP-001,5/7/16,10/30/23,10/29/26
POL-0035,Policy 35: Security Management,IT,Retired,DEP-001,4/16/13,10/21/24,10/21/27
POL-0036,Policy 36: Retention Management,Finance,Under Review,DEP-011,9/20/18,2/1/24,1/31/27
POL-0037,Policy 37: Records Management,Risk,Approved,DEP-001,9/19/11,11/29/21,11/28/24
POL-0038,Policy 38: Access Management,Finance,Approved,DEP-010,8/4/07,7/12/24,7/12/27
POL-0039,Policy 39: Retention Management,Operations,Draft,DEP-011,2/10/11,6/16/23,6/15/26
POL-0040,Policy 40: Travel Management,IT,Under Review,DEP-004,6/2/20,8/17/23,8/16/26
POL-0041,Policy 41: Retention Management,Employer,Approved,DEP-012,8/20/10,1/22/24,1/21/27
POL-0042,Policy 42: Security Management,Member,Draft,DEP-003,5/7/16,2/3/23,2/2/26
POL-0043,Policy 43: Travel Management,Operations,Approved,DEP-003,4/17/19,4/12/23,4/11/26
POL-0044,Policy 44: Training Management,Risk,Approved,DEP-010,10/29/20,10/17/24,10/17/27
POL-0045,Policy 45: Security Management,Compliance,Approved,DEP-013,10/22/24,8/2/24,8/2/27
POL-0046,Policy 46: Retention Management,HR,Approved,DEP-001,9/21/23,11/6/24,11/6/27
POL-0047,Policy 47: Access Management,Member,Approved,DEP-010,11/11/07,3/7/22,3/6/25
POL-0048,Policy 48: Travel Management,IT,Approved,DEP-011,4/19/20,11/12/21,11/11/24
POL-0049,Policy 49: Travel Management,Risk,Approved,DEP-006,10/30/24,12/9/24,12/9/27
POL-0050,Policy 50: Conduct Management,Operations,Under Review,DEP-001,12/10/22,10/10/24,10/10/27
POL-0051,Policy 51: Procurement Management,HR,Approved,DEP-001,1/9/09,10/21/24,10/21/27
POL-0052,Policy 52: Procurement Management,IT,Approved,DEP-003,12/26/10,11/12/24,11/12/27
POL-0053,Policy 53: Procurement Management,HR,Under Review,DEP-013,4/4/24,4/19/22,4/18/25
POL-0054,Policy 54: Training Management,Legal,Approved,DEP-004,11/6/11,3/25/24,3/25/27
POL-0055,Policy 55: Conduct Management,HR,Draft,DEP-001,10/21/19,11/18/24,11/18/27
POL-0056,Policy 56: Security Management,Finance,Under Review,DEP-002,11/16/12,12/24/24,12/24/27
POL-0057,Policy 57: Retention Management,Legal,Approved,DEP-013,8/15/05,12/31/24,12/31/27
POL-0058,Policy 58: Risk Management,Finance,Retired,DEP-008,11/10/05,6/20/24,6/20/27
POL-0059,Policy 59: Travel Management,Member,Retired,DEP-011,8/7/18,9/3/21,9/2/24
POL-0060,Policy 60: Procurement Management,Admin,Approved,DEP-013,4/7/09,11/27/23,11/26/26
POL-0061,Policy 61: Procurement Management,HR,Retired,DEP-011,8/30/16,8/15/23,8/14/26
POL-0062,Policy 62: Conduct Management,Legal,Under Review,DEP-003,9/4/14,10/10/23,10/9/26
POL-0063,Policy 63: Access Management,Admin,Approved,DEP-001,1/16/12,10/15/24,10/15/27
POL-0064,Policy 64: Leave Management,Risk,Retired,DEP-011,12/9/11,2/21/24,2/20/27
POL-0065,Policy 65: Procurement Management,HR,Approved,DEP-001,6/8/17,7/23/24,7/23/27
POL-0066,Policy 66: Procurement Management,Operations,Under Review,DEP-005,10/22/18,4/17/24,4/17/27
POL-0067,Policy 67: Retention Management,Admin,Approved,DEP-001,10/26/11,10/7/24,10/7/27
POL-0068,Policy 68: Risk Management,Admin,Approved,DEP-014,9/8/19,10/5/23,10/4/26
POL-0069,Policy 69: Training Management,IT,Approved,DEP-006,6/19/16,4/29/24,4/29/27
POL-0070,Policy 70: Access Management,Compliance,Retired,DEP-004,5/14/11,2/5/24,2/4/27
POL-0071,Policy 71: Risk Management,Legal,Under Review,DEP-014,2/5/07,10/31/19,10/30/22
POL-0072,Policy 72: Conduct Management,Finance,Approved,DEP-006,1/15/10,11/29/22,11/28/25
POL-0073,Policy 73: Records Management,HR,Draft,DEP-002,6/29/10,11/7/23,11/6/26
POL-0074,Policy 74: Security Management,Employer,Approved,DEP-008,11/24/13,12/31/24,12/31/27
POL-0075,Policy 75: Procurement Management,Compliance,Approved,DEP-001,12/18/13,10/1/24,10/1/27
POL-0076,Policy 76: Security Management,Member,Under Review,DEP-013,11/28/09,3/14/22,3/13/25
