PolicyID,PolicyTitle,PolicyType,Status,OwnerDepartmentID,EffectiveDate,ExpirationDate,LastUpdatedDate
POL-0001,Policy 1: Conduct Management,HR,Retired,DEP-004,2010-05-28,,2012-03-03
POL-0002,Policy 2: Security Management, Employer ,Approved,DEP-010,2023-04-21,,2024-10-17
POL-0003,Policy 3: Access Management,Operations,Under Review,DEP-001,2019-10-19,,25-Aug-2021
 POL-0004 ,Policy 4: Leave Management,Risk,Retired,DEP-001,"Jul 26, 2024",,2024-11-11
POL-0005,Policy 5: Retention Management,IT,Approved,DEP-008,2020-12-28,,2024-10-03
POL-0006,Policy 6: Travel Management,Employer,Retired,DEP-001,2025-03-06,  ,05-Apr-2025
POL-0007,Policy 7: Conduct Management, IT ,Under Review,DEP-012,2006-06-09,, 2019-08-19 
 POL-0008 ,Policy 8: Retention Management,IT,Under Review,DEP-001,2018-03-14,,2018-12-29
POL-0009,Policy 9: Records Management,IT, Approved , DEP-003 ,2006-07-07,,2013-12-03
POL-0010,Policy 10: Security Management,Risk,Approved,DEP-005,2010-05-04,,23-Mar-2021
 POL-0011 ,Policy 11: Conduct Management,Risk,Under Review,DEP-008,2007-12-20,  ,2020-10-09
 POL-0012 ,Policy 12: Risk Management,Employer,Approved, DEP-002 ,2010-06-14,,2019-07-31
POL-0013,Policy 13: Conduct Management,Compliance,Approved,DEP-005,2007-03-06,,2015-02-14
 POL-0014 ,Policy 14: Procurement Management,Member,Approved,DEP-001,2015-06-23,,2016-01-30
POL-0015,Policy 15: Security Management,,,DEP-008,"Jan 12, 2014",,06/25/2016
POL-0016,Policy 16: Conduct Management,IT,Under Review,DEP-008,2009-04-08,,05/30/2012
POL-0017,Policy 17: Procurement Management, Operations ,Retired, DEP-001 ,"Apr 01, 2011",,2012-12-08
POL-0018,Policy 18: Training Management,Risk,Approved,DEP-014,2007-03-14,2012-03-14,2007-07-12
POL-0019,Policy 19: Security Management,IT,,DEP-003,2008-09-24,,12-Jul-2019
