ReviewID,PolicyID,ReviewerEmployeeID,ReviewDate,ReviewStatus,Comments
REV-00001,POL-0159,EMP-0028,1/2/19,Approved,Looks good.
REV-00002,POL-0136,EMP-0011,1/2/19,Approved,Looks good.
REV-00003,POL-0008,EMP-0028,1/3/19,Approved,Update section 2.
REV-00004,POL-0241,EMP-0027,1/3/19,Approved,Formatting changes only.
REV-00005,POL-0288,EMP-0032,1/4/19,Approved,Formatting changes only.
REV-00006,POL-0006,EMP-0027,1/4/19,Approved,Looks good.
REV-00007,POL-0013,EMP-0011,1/7/19,Approved,Looks good.
REV-00008,POL-0278,EMP-0011,1/7/19,Approved,Looks good.
REV-00009,POL-0299,EMP-0033,1/8/19,Approved,Update section 3.
REV-00010,POL-0249,EMP-0011,1/8/19,Rejected,Formatting changes only.
REV-00011,POL-0135,EMP-0033,1/9/19,Approved,Please verify citation.
REV-00012,POL-0250,EMP-0027,1/10/19,Approved,Looks good.
REV-00013,POL-0132,EMP-0030,1/10/19,Approved,Minor edits requested.
REV-00014,POL-0165,EMP-0031,1/14/19,Approved,Minor edits requested.
REV-00015,POL-0007,EMP-0027,1/14/19,Approved,Minor edits requested.
REV-00016,POL-0033,EMP-0034,1/15/19,Rejected,Please verify citation.
REV-00017,POL-0048,EMP-0032,1/17/19,Approved,Looks good.
REV-00018,POL-0296,EMP-0033,1/18/19,Approved,Update section 4.
REV-00019,POL-0135,EMP-0030,1/22/19,Approved,Please verify citation.
REV-00020,POL-0133,EMP-0027,1/22/19,Approved,Update section 4.
REV-00021,POL-0231,EMP-0034,1/22/19,Approved,Looks good.
REV-00022,POL-0203,EMP-0029,1/22/19,Rejected,Please verify citation.
REV-00023,POL-0132,EMP-0030,1/22/19,Approved,Update section 5.
REV-00024,POL-0212,EMP-0029,1/22/19,Approved,Update section 1.
REV-00025,POL-0257,EMP-0028,1/23/19,Approved,Update section 1.
REV-00026,POL-0157,EMP-0025,1/24/19,Approved,Minor edits requested.
REV-00027,POL-0094,EMP-0032,1/25/19,Approved,Update section 1.
REV-00028,POL-0196,EMP-0034,1/25/19,Approved,Update section 1.
REV-00029,POL-0038,EMP-0032,1/31/19,Approved,Formatting changes only.
REV-00030,POL-0265,EMP-0027,1/31/19,Approved,Looks good.
REV-00031,POL-0110,EMP-0029,2/1/19,Approved,Update section 3.
REV-00032,POL-0184,EMP-0029,2/1/19,Approved,Update section 3.
REV-00033,POL-0028,EMP-0027,2/4/19,Approved,Update section 2.
REV-00034,POL-0081,EMP-0025,2/5/19,Approved,Looks good.
