ReviewID,PolicyID,ReviewerEmployeeID,ReviewerRole,ReviewDate,ReviewStatus,Comments
REV-00001,POL-0159,EMP-0042,Senior Analyst,2015-10-29,Approved,Looks good.
REV-00002,POL-0136,EMP-0019,Department Supervisor,29-Aug-2010,Approved,Looks good.
REV-00003,POL-0008,EMP-0029, Compliance Analyst ,2003-12-17,Approved,
 REV-00004 , POL-0241 ,EMP-0045,Policy Analyst,2023-04-09,Approved,Formatting changes only.
 REV-00005 ,POL-0288,EMP-0013,,2024-02-12,Approved,Formatting changes only.
REV-00006,POL-0006,EMP-0050,Policy Reviewer,2015-08-09, Approved ,Looks good.
REV-00007,POL-0013, EMP-0020 ,Department Supervisor,2017-05-25,Approved,Looks good.
REV-00008,POL-0278,,Policy Reviewer,,Approved,Looks good.
REV-00009,POL-0299,EMP-0013,, 2020-02-17 ,Approved,Update section 3.
REV-00010,POL-0249, EMP-0054 ,Senior Analyst,,Rejected,Formatting changes only.
REV-00011,POL-0135, EMP-0039 ,Policy Analyst,,Approved,Please verify citation.
REV-00012,POL-0250,EMP-0039,Policy Analyst,2013-04-12,Approved,Looks good.
 REV-00013 ,POL-0132,,Compliance Analyst,"Jun 14, 2024",Approved, Minor edits requested. 
REV-00014,POL-0165,EMP-0023,Department Supervisor,2021-07-15,Approved, Minor edits requested. 
REV-00015,POL-0007,EMP-0040,Senior Analyst,2020-04-05,Approved,Minor edits requested.
REV-00016,POL-0033,EMP-0043,Policy Reviewer,08/17/2017,Rejected,Please verify citation.
REV-00017,POL-0048,EMP-0021,Department Supervisor,"Apr 12, 2019",Approved, Looks good. 
REV-00018,POL-0296,EMP-0027,Compliance Analyst,2006-09-15,Approved,
REV-00019,POL-0135,EMP-0034,Compliance Analyst,2022-01-20,Approved,Please verify citation.
REV-00020,POL-0133,EMP-0044,Policy Analyst,2005-02-05,Approved,
REV-00021,POL-0231,EMP-0016,Department Supervisor,2013-04-14,Approved,Looks good.
 REV-00022 ,POL-0203,EMP-0039,Policy Analyst,2012-09-25,Rejected,Please verify citation.
REV-00023,POL-0132, EMP-0038 ,Senior Analyst,2007-02-09,Approved,
REV-00024,POL-0212,EMP-0039,Policy Analyst,2010-06-16,Approved,
REV-00025,POL-0257,EMP-0037,Policy Reviewer,2001-09-10,Approved,
REV-00026,POL-0157,EMP-0043,Policy Reviewer,13-Apr-2018,Approved,Minor edits requested.
REV-00027,POL-0094,EMP-0035,Senior Analyst,2011-01-27,Approved,  
REV-00028,POL-0196,EMP-0025,Compliance Analyst,2017-04-25,Approved,
REV-00029,POL-0038,EMP-0017,Department Supervisor,2014-10-17,Approved,Formatting changes only.
REV-00030,POL-0265,EMP-0020,Department Supervisor,16-Jul-2015,Approved,Looks good.
REV-00031, POL-0110 ,EMP-0029,Compliance Analyst, 2002-03-20 , Approved ,Update section 3.
REV-00032,POL-0184,EMP-0041,Policy Reviewer,2006-09-21,Approved,Update section 3.
REV-00033,POL-0028,EMP-0016,Department Supervisor, 2000-09-25 ,Approved,
REV-00034,POL-0081,,Department Supervisor,2011-12-24,Approved, Looks good. 
REV-00035,POL-0162,EMP-0049,Senior Analyst,11-Feb-2025,Approved,Please verify citation.
REV-00036,POL-0295,EMP-0018,Department Supervisor,2019-06-26, Approved ,Minor edits requested.
REV-00037,POL-0256,EMP-0030,Compliance Analyst,"Feb 27, 2011",Approved,  
REV-00038,POL-0069,EMP-0026,Compliance Analyst,2002-08-22,Approved,Update section 3.
REV-00039,POL-0189,EMP-0015,Department Supervisor, 2021-01-01 ,Approved,
REV-00040,POL-0031,EMP-0049,Senior Analyst,2022-12-02,Approved,Please verify citation.
 REV-00041 ,POL-0100,EMP-0051,,2001-03-27,Approved,Please verify citation.
REV-00042,POL-0270,EMP-0020,Department Supervisor,2011-05-08,Approved,Minor edits requested.
REV-00043, POL-0291 ,EMP-0011,Department Supervisor,2019-10-02, Approved ,Please verify citation.
REV-00044,POL-0284,EMP-0026,Compliance Analyst,2016-04-28,Approved, Please verify citation. 
REV-00045,POL-0010,EMP-0022,Department Supervisor,09-Mar-2019, Approved ,Formatting changes only.
REV-00046,POL-0200,EMP-0044,Policy Analyst,2004-05-03,Approved,Minor edits requested.
REV-00047,POL-0106,EMP-0044,Policy Analyst,2003-07-14,Approved,Please verify citation.
REV-00048,POL-0086,EMP-0043,Policy Reviewer,2023-04-04,Rejected,Please verify citation.
REV-00049,POL-0035,EMP-0035,Senior Analyst,2001-05-30,Approved,Update section 3.
 REV-00050 ,POL-0057,EMP-0051,Policy Analyst,2002-06-14,Approved,Update section 3.
REV-00051, POL-0033 ,EMP-0027,Compliance Analyst,2017-03-30,Approved,Formatting changes only.
REV-00052,POL-0120, EMP-0033 ,Compliance Analyst,2001-03-24,Approved,
REV-00053,POL-0218,,Compliance Analyst,2015-12-19,Approved,Formatting changes only.
REV-00054,POL-0108,EMP-0048,Policy Reviewer,02/23/2005,Approved,Formatting changes only.
REV-00055,POL-0281,EMP-0019,Department Supervisor,2015-05-31, Approved ,
REV-00056,POL-0283,EMP-0045,Policy Analyst, 2016-04-20 ,Approved,Minor edits requested.
REV-00057,POL-0016,EMP-0054,,2008-05-08,Approved,Update section 3.
REV-00058,POL-0216,EMP-0051,Policy Analyst,2021-12-18,Rejected,Looks good.
REV-00059,POL-0167, EMP-0015 ,Department Supervisor,2006-07-19,Approved,Formatting changes only.
REV-00060,POL-0086,EMP-0013, Department Supervisor ,01/10/2021,Approved,Minor edits requested.
REV-00061, POL-0077 ,EMP-0013,Department Supervisor,2009-07-16,Rejected,Looks good.
REV-00062,POL-0220,EMP-0031,Compliance Analyst,,Approved,Minor edits requested.
REV-00063,POL-0183,EMP-0036,Senior Analyst, 2023-08-14 ,Approved,Please verify citation.
REV-00064,POL-0033,EMP-0027,Compliance Analyst,2021-09-25,Approved,
REV-00065,POL-0167,EMP-0029,Compliance Analyst,"Jan 26, 2009",Approved,Minor edits requested.
REV-00066,POL-0192,EMP-0052,Senior Analyst,23-Aug-2002,Approved,Minor edits requested.
REV-00067,POL-0251,EMP-0018,Department Supervisor,2012-10-02,Approved,Minor edits requested.
 REV-00068 ,POL-0237,EMP-0036,Senior Analyst,2020-02-06,Approved,Formatting changes only.
REV-00069,POL-0221,EMP-0035, Senior Analyst ,2020-03-22, Approved ,Minor edits requested.
REV-00070,POL-0050,EMP-0042,Senior Analyst,2008-11-16,Approved,Formatting changes only.
REV-00071,POL-0184,EMP-0034,Compliance Analyst,25-Oct-2022,Rejected, Please verify citation. 
REV-00072,POL-0095,EMP-0016, Department Supervisor ,2012-06-17,Approved,Formatting changes only.
REV-00073,POL-0130,EMP-0016,Department Supervisor,2019-07-17,Approved,Update section 3.
REV-00074,POL-0155,EMP-0045,Policy Analyst,08/04/2008,Approved,Minor edits requested.
 REV-00075 , POL-0058 ,EMP-0017,Department Supervisor,2014-11-27,Approved,
REV-00076,POL-0221,EMP-0053,Senior Analyst,2015-03-17,Approved,Minor edits requested.
REV-00077,POL-0191,EMP-0039,Policy Analyst,2014-03-31,Approved, Please verify citation. 
REV-00078,POL-0070, EMP-0021 ,Department Supervisor,2019-08-12,Approved,Formatting changes only.
REV-00079,POL-0278,EMP-0033,Compliance Analyst,2020-05-29,Approved,Update section 3.
REV-00080,POL-0184,EMP-0033,Compliance Analyst,2002-05-25,Rejected,Please verify citation.
REV-00081,POL-0227,EMP-0028,Compliance Analyst,"Jan 04, 2020",Approved, Formatting changes only. 
REV-00082, POL-0271 ,, Department Supervisor , 2003-01-26 ,Approved,Formatting changes only.
 REV-00083 ,POL-0065,EMP-0034,Compliance Analyst,2018-09-20, Approved ,Please verify citation.
 REV-00084 ,POL-0050,EMP-0012,Department Supervisor,2007-09-04,Approved,Looks good.
REV-00085,POL-0208,EMP-0013,Department Supervisor,2020-02-26,Approved,Looks good.
REV-00086,POL-0245,EMP-0026,Compliance Analyst,2003-07-07,Approved,Formatting changes only.
REV-00087,POL-0162,EMP-0034,Compliance Analyst,2016-12-05,Approved,
REV-00088,POL-0286,EMP-0049,Senior Analyst,2001-12-13,Approved,Looks good.
REV-00089,POL-0239,EMP-0034,Compliance Analyst,05-Sep-2020,Approved,Minor edits requested.
REV-00090,POL-0194,EMP-0015,Department Supervisor,2020-05-30,Approved,Please verify citation.
REV-00091,POL-0293,EMP-0044,Policy Analyst,2006-09-03,Approved,Minor edits requested.
 REV-00092 ,POL-0179, EMP-0031 ,Compliance Analyst,2018-05-09,Approved,Formatting changes only.
REV-00093,POL-0016,EMP-0026,Compliance Analyst,2012-12-31,Approved,
REV-00094,POL-0081,,Department Supervisor,2001-08-29,Approved,Update section 3.
REV-00095, POL-0210 ,EMP-0035,Senior Analyst,2023-09-21,Approved,Please verify citation.
REV-00096,POL-0133, EMP-0027 ,Compliance Analyst,2005-10-12,Approved,Minor edits requested.
REV-00097,POL-0258,EMP-0024,Department Supervisor,,Approved,Please verify citation.
REV-00098,POL-0265,EMP-0042,Senior Analyst,"Apr 22, 2013",,Looks good.
REV-00099,POL-0281,EMP-0019, Department Supervisor ,2005-12-31,,
REV-00100,POL-0014,EMP-0022,Department Supervisor,"Oct 10, 2020",Approved,Formatting changes only.
REV-00101,POL-0040,EMP-0016,Department Supervisor,2020-06-18,Approved,Formatting changes only.
REV-00102, POL-0268 ,EMP-0053,Senior Analyst,2014-11-01,Approved,Minor edits requested.
REV-00103,POL-0126,EMP-0046,Policy Reviewer,2003-05-30,Approved,Please verify citation.
REV-00104,POL-0110,EMP-0030,Compliance Analyst,2013-07-10, Approved ,Looks good.
REV-00105,POL-0125,EMP-0034,Compliance Analyst,22-Apr-2008,Approved,Please verify citation.
REV-00106,POL-0268,EMP-0018,Department Supervisor,2010-07-22,Approved,Looks good.
REV-00107,POL-0192,EMP-0026, Compliance Analyst ,,Rejected,Update section 3.
REV-00108,POL-0259,EMP-0034,Compliance Analyst,2001-09-04,Approved,Please verify citation.
REV-00109,POL-0268,EMP-0040,Senior Analyst,2017-01-17,Approved, Please verify citation. 
REV-00110,POL-0283, EMP-0050 ,Policy Reviewer,2006-04-27, Approved ,
REV-00111,POL-0236,EMP-0030,Compliance Analyst,2003-06-13,Approved,Update section 3.
